"<strong>Post editor</strong> - Enter the text for your post. There are two modes of editing: Visual and Text. Choose the mode by clicking on the appropriate tab. Visual mode gives you a WYSIWYG editor. Click the last icon in the row to get a second row of controls. The Text mode allows you to enter HTML along with your post text. Line breaks will be converted to paragraphs automatically. You can insert media files by clicking the icons above the post editor and following the directions. You can go to the distraction-free writing screen via the Fullscreen icon in Visual mode (second to last in the top row) or the Fullscreen button in Text mode (last in the row). Once there, you can make buttons visible by hovering over the top area. Exit Fullscreen back to the regular post editor.","<strong>Edytor wpisu</strong> – Miejsce na wprowadzenie treści wpisu. Dostępne są dwa tryby edycji: wizualny i HTML. Wyboru trybu dokonuje się przez wybranie odpowiedniej karty, znajdującej się nad prawym górnym rogiem edytora. Edytor w trybie wizualnym to edytor WYSIWYG, czyli taki, w którym od razu widać, jak wpis będzie wyglądał po opublikowaniu. Kliknięcie ostatniego przycisku na pasku przycisków spowoduje wyświetlenie drugiego ich wiersza. W trybie HTML poza treścią wpisu można wprowadzać kod HTML. Jeśli chcesz dodać medium do swojego wpisu, kliknij ikonę znajdującą się nad edytorem – wówczas wyświetlone zostanie okno, w którym pojawią się kolejne instrukcje. Aby przejść do trybu pisania pełnoekranowego, kliknij przycisk symbolizujący rozszerzenie edytora na pełny ekran, jeśli edytor jest w trybie wizualnym, a jeśli jest on w trybie HTML – przycisk z napisem „pełny ekran” (ostatni w wierszu). Kiedy przełączysz edytor we wspomniany tryb, zniknie pasek przycisków. Aby go wyświetlić, umieść wskaźnik myszy u góry strony. Aby wyjść z tego trybu, kliknij odnośnik z napisem „Powróć do normalnego widoku”."
"You can select an image to be shown at the top of your site by uploading from your computer or choosing from your media library. After selecting an image you will be able to crop it.","Można ustawić własny obrazek jako nagłówek – wystarczy wysłać obrazek i przyciąć go do odpowiedniego rozmiaru, a będzie on od razu widoczny. Można kliknąć przycisk „Wybierz obrazek”, aby wybrać jeden z wcześniej załadowanych do biblioteki mediów."
"Main content","Główna zawartość"
"Skip to main content","Przejdź do głownej zawartości"
"%s linked here <a href=\"%s\">saying</a>, \"%s\" on %s","Osoba podpisująca się jako %s umieściła odnośnik <a href=\"%s\">pisząc</a>, \"%s\" w dniu %s"
"You can set a custom image header for your site. Simply upload the image and crop it, and the new header will go live immediately. Alternatively, you can use an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button.","Możesz ustawić własny obrazek jako nagłówek – wystarczy wysłać obrazek i przyciąć go do odpowiedniego rozmiaru, a będzie on od razu widoczny. Można kliknąć przycisk &#8222;Wybierz obrazek&#8221;, aby wybrać jeden z wcześniej załadowanych do biblioteki mediów."
"Skip Cropping, Publish Image as Is","Nie przycinaj obrazka i użyj go w takiej postaci"
"&larr; Close","&larr; Zamknij"
"You can see your active theme at the top of the screen. Below are the other themes you have installed that are not currently in use. You can see what your site would look like with one of these themes by clicking the Live Preview link (see \"Previewing and Customizing\" help tab). To change themes, click the Activate link.","Informacje o używanym motywie znajdują się u góry ekranu. Pod nimi znajduje się lista zainstalowanych motywów, które nie są teraz używane. Możesz sprawdzić, jak wyglądałaby Twoja witryna po włączeniu jednego z nich po kliknięciu odnośnika „Podgląd” (więcej informacji znajduje się na stronie „Podgląd i personalizacja” karty „Pomoc”). Aby zmienić używany motyw, kliknij odnośnik „Włącz”."
"Click on the \"Live Preview\" link under any theme to preview that theme and change theme options in a separate, full-screen view. Any installed theme can be previewed and customized in this way.","Pod każdym z motywów znajduje się odnośnik „Podgląd”, który wywołuje pełnoekranowy podgląd serwisu wraz z dostępną konfiguracją. Wszystkie zainstalowane motywy mogą być przeglądane i spersonalizowane w ten sposób."
"In the left-hand pane you can edit the theme settings. The settings will differ, depending on what theme features the theme being previewed supports. To accept the new settings and activate the theme all in one step, click the \"Save &amp; Activate\" button at the top of the left-hand pane.","W panelu po lewej stronie można zmieniać ustawienia motywu. Dostępność opcji zależy od tego, czy wybrany motyw je obsługuje. Aby zapisać nowe ustawienia i włączyć motyw, kliknij przycisk „Zapisz i włącz”, znajdujący się u góry panelu."
"You are previewing %s","Podgląd motywu %s"
"Select Image","Wybierz obrazek"
"Or choose an image from your media library:","lub wybierz obrazek z biblioteki mediów:"
"Choose Image","Wybierz obrazek"
"Click the Live Preview links in the Available Themes list below to customize and preview another theme before activating it.","Kliknij odnośnik „Podgląd”, aby podejrzeć i spersonalizować motyw przed jego włączeniem."
"Customize %s","Spersonalizuj „%s”"
"Collapse","Zwiń"
"New Feature: Choose Image from Library","Nowa funkcja: wybieranie obrazków z biblioteki"
"Want to use an image you uploaded earlier? Select it from your media library instead of uploading it again.","Chcesz użyć obrazka, który wysłałeś wcześniej? Wybierz go z biblioteki mediów bez potrzeby wysłania go ponownie."
"New Feature: Customizer","Nowa funkcja: personalizacja motywów"
"Click Customize to change the header, background, title and menus of the current theme, all in one place.","Kliknij „Spersonalizuj”, aby w jednym miejscu zmienić nagłówek, tło, tytuł i menu używanego motywu."
"If you don&#8217;t want a header image to be displayed on your site at all, click the &#8220;Remove Header Image&#8221; button at the bottom of the Header Image section of this page. If you want to re-enable the header image later, you just have to select one of the other image options and click &#8220;Save Changes&#8221;.","W celu usunięcia obrazka z nagłówka witryny wystarczy że klikniesz przycisk &#8222;Usuń obrazek nagłówka&#8221; w sekcji „Obrazek nagłówka”. Jeśli zechcesz przywrócić obrazek później, wystarczy że wybierzesz jeden z obrazków i klikniesz &#8222;Zapisz zmiany&#8221;."
"You attempted to edit an item that isn&#8217;t an attachment. Please go back and try again.","Próbowano zmodyfikować obiekt, który nie jest załącznikiem. Proszę przejść do poprzedniej strony i spróbować ponownie."
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","Napotkano nieoczekiwany błąd. Prawdopodobnie coś jest nie tak z witryną WordPress.org bądź z konfiguracją tego serwera. Jeśli problem będzie występował przez dłuższy czas, możesz zapytać o to na <a href=\"http://wordpress.org/support/\">forum dyskusyjnym</a>."
"Installed","Zainstalowany"
"This theme is already installed and is up to date","Zainstalowana jest najnowsza wersja tego motywu"
"Once you have generated a list of themes, you can preview and install any of them. Click on the thumbnail of the theme you&#8217;re interested in previewing. It will open up in a full-screen Preview page to give you a better idea of how that theme will look.","Po wygenerowaniu listy motywów możliwe będzie obejrzenie i zainstalowanie dowolnego z nich. Kliknij ikonę motywu, który Ci się spodobał, aby zobaczyć jego podgląd na pełnoekranowej stronie."
"Previewing and Installing","Podgląd i instalacja"
"The theme being previewed is fully interactive &mdash; navigate to different pages to see how the theme handles posts, archives, and other page templates.","Podgląd motywu jest w pełni interaktywny &ndash; można przełączać się między poszczególnymi stronami, by zobaczyć, jak motyw wyświetla wpisy, archiwa oraz inne strony."
"When previewing on smaller monitors, you can use the \"Collapse\" icon at the bottom of the left-hand pane. This will hide the pane, giving you more room to preview your site in the new theme. To bring the pane back, click on the Collapse icon again.","Jeśli używasz małego monitora, możesz zwinąć panel narzędzia do personalizacji przy pomocy przycisku „Zwiń”, aby mieć więcej miejsca na podgląd. Aby przywrócić panel, kliknij przycisk „Zwiń” ponownie."
"Previewing and Customizing","Podgląd i personalizacja"
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","Używasz skryptu opartego na HTML-u. WordPress udostępnia także skrypt pozwalający na wysyłanie wielu plików naraz, w tym przez przeciąganie i upuszczanie. <a href=\"#\">Włącz skrypt pozwalający na wysyłanie wielu plików naraz</a>. "
"Preview %s","Podgląd „%s”"
"Categories have hierarchy, meaning that you can nest sub-categories. Tags do not have hierarchy and cannot be nested. Sometimes people start out using one on their posts, then later realize that the other would work better for their content.","Kategorie są hierarchiczne, co oznacza, że kategorie mogą być podkategoriami innych. Tagi nie mają hierarchii, więc nie mogą być w ten sposób porządkowane. Zdarza się, że ktoś zaczyna używać kategorii lub tagów, a później zdaje sobie sprawę, że drugie byłoby lepsze do danego zastosowania."
"The Categories and Tags Converter link on this screen will take you to the Import screen, where that Converter is one of the plugins you can install. Once that plugin is installed, the Activate Plugin &amp; Run Importer link will take you to a screen where you can choose to convert tags into categories or vice versa.","Kliknięcie odnośnika „użyj konwertera kategorii i tagów” spowoduje przejście do ekranu „Import”, gdzie konwerter można zainstalować jako wtyczkę. Po instalacji konwertera kliknięcie odnośnika „Włącz wtyczkę i uruchom importer” przeniesie Cię na ekran, na którym możliwa będzie konwersja tagów na kategorie i odwrotnie."
"Live Preview","Podgląd"
"XML-RPC API","API XML-RPC"
"This screen is used to customize the header section of your theme.","Na tym ekranie można ustawić wygląd nagłówka używanego motywu."
"You can choose from the theme&#8217;s default header images, or use one of your own. You can also customize how your Site Title and Tagline are displayed.","Możesz wybrać jeden z domyślnych nagłówków motywu lub użyć własnego. Można też spersonalizować sposób wyświetlania tytułu i sloganu witryny."
"Some themes come with additional header images bundled. If you see multiple images displayed, select the one you&#8217;d like and click the &#8220;Save Changes&#8221; button.","Niektóre motywy zawierają domyślne obrazki nagłówka. Jeśli wyświetlany jest więcej niż jeden obrazek, wybierz ten, który Ci się podoba i kliknij przycisk „Zapisz zmiany”."
"If your theme has more than one default header image, or you have uploaded more than one custom header image, you have the option of having WordPress display a randomly different image on each page of your site. Click the &#8220;Random&#8221; radio button next to the Uploaded Images or Default Images section to enable this feature.","Jeśli wybrany motyw zawiera więcej niż jeden domyślny obrazek nagłówka lub jeśli na serwer wysłano więcej niż jeden własny obrazek nagłówka, można kazać WordPressowi wyświetlać losowy spośród nich za każdym otwarciem strony na witrynie. Kliknij przycisk „Losowy” przy liście wysłanych na serwer lub domyślnych obrazków, aby włączyć tę funkcję."
"For most themes, the header text is your Site Title and Tagline, as defined in the <a href=\"%s\">General Settings</a> section.","Tekst nagłówka oraz slogan większości motywów można ustawić na stronie <a href=\"%s\">Ustawienia ogólne</a>."
"Configuration Error","Błąd konfiguracji"
"Your <code>wp-config.php</code> file has an empty database table prefix, which is not supported.","W pliku <code>wp-config.php</code> nie podano prefiksu nazw tabel bazy danych. Konieczne jest podanie go."
"Revert to the <strong>Browser Uploader</strong> by clicking the link below the drag and drop box.","Przywróć <strong>skrypt oparty na HTML-u</strong>, klikając odnośnik przed obszarem do upuszczania plików."
"User deleted.","Konto zostało usunięte."
"%s users deleted.","%s konta zostały usunięte."
"New user created. <a href=\"%s\">Edit user</a>","Utworzono nowe konto użytkownika. <a href=\"%s\">Edytuj użytkownika</a>"
"Could not copy files. You may have run out of disk space.","Nie można było skopiować plików. Być może skończyło się przydzielone miejsce na serwerze."
"Search for themes by keyword.","Podaj słowa kluczowe jako kryteria wyszukiwania motywu."
"Find a theme based on specific features.","Znajdź motyw, który posiada wybrane funkcje."
"In all likelihood, these items were supplied to you by your Web Host. If you do not have this information, then you will need to contact them before you can continue. If you&#8217;re all ready&hellip;","Informacje te zostały Ci prawdopodobnie podane przez administratora Twojego serwera. Jeśli ich nie posiadasz, konieczne będzie skontaktowanie się z nim przed rozpoczęciem instalacji. Jeżeli wszystko jest już przygotowane…"
"This theme is broken.","Wybrany motyw jest uszkodzony."
"Set as background","Ustaw jako tło"
"Set as header","Ustaw jako nagłówek"
"Customize &#8220;%s&#8221;","Spersonalizuj motyw &#8222;%s&#8221;"
"Collapse Sidebar","Zwiń panel boczny"
"Keyword","Słowo kluczowe"
"This theme requires a parent theme. Checking if it is installed&#8230;","Wybrany motyw wymaga instalacji motywu nadrzędnego. Sprawdź, czy jest on zainstalowany."
"Preparing to install <strong>%s %s</strong>&#8230;","Przygotowywanie się do instalacji motywu <strong>%s %s</strong>&#8230;"
"The parent theme, <strong>%s %s</strong>, is currently installed.","Trwa instalacja motywu nadrzędnego: <strong>%s %s</strong>."
"Successfully installed the parent theme, <strong>%s %s</strong>.","Zainstalowano motyw nadrzędny <strong>%s %s</strong>."
"<strong>The parent theme could not be found.</strong> You will need to install the parent theme, <strong>%s</strong>, before you can use this child theme.","<strong>Motyw nadrzędny nie mógł zostać odnaleziony.</strong> Musisz zainstalować motyw nadrzędny <strong>%s</strong> nim rozpoczniesz korzystanie z motywu potomnego."
"Header Text","Tekst nagłówka"
"Show header text with your image.","Oprócz obrazka wyświetlaj tekst w nagłówku."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\" %s>update now</a>.","Dostępna jest nowa wersja motywu „%s”. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Zobacz informacje o wersji %s</a> lub <a href=\"%s\" %s>uruchom aktualizację</a>."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\">update now</a>.","Dostępna jest nowa wersja „%s”. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Zobacz informacje o wersji %s</a> lub <a href=\"%s\">uruchom aktualizację</a>."
"By %s.","Autor: %s."
"Add comment","Dodaj komentarz"
"Add new Comment","Dodaj nowy komentarz"
"Add Comment","Dodaj komentarz"
"Broken Theme:","Uszkodzony motyw:"
"Broken <span class=\"count\">(%s)</span>","Uszkodzone <span class=\"count\">(%s)</span>"
"Light","Jasny"
"This is not just a plugin, it symbolizes the hope and enthusiasm of an entire generation summed up in two words sung most famously by Louis Armstrong: Hello, Dolly. When activated you will randomly see a lyric from <cite>Hello, Dolly</cite> in the upper right of your admin screen on every page.","To nie jest zwykła wtyczka – symbolizuje ona nadzieję i entuzjazm całego pokolenia, podsumowane w dwóch słowach piosenki, której najpopularniejszym wykonawcą jest Louis Armstrong: „Hello, Dolly”. Po włączeniu tej wtyczki, w prawym górnym rogu każdego ekranu kokpitu będzie wyświetlany losowy wers <cite>Hello, Dolly</cite>."
"Show on screen","Wyświetlaj na ekranie"
"<strong>Welcome</strong> - Shows links for some of the most common tasks when setting up a new site.","<strong>Witaj</strong> – Zawiera odnośniki do najczęściej wykonywanych zadań przy tworzeniu nowej witryny."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this theme.</em>","Dostępna jest nowa wersja motywu &#8222;%s&#8221;. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Zobacz informacje o wersji %s</a>. <em>Automatyczna aktualizacja tego motywu nie jest możliwa.</em>"
"Welcome","Witaj"
"0","Europe/Warsaw"
"Images should be at least <strong>%s1$d pixels</strong> wide.","Obrazki powinny mieć co najmniej <strong>%s1$d pikseli</strong> szerokości."
"Suggested height is <strong>%s1$d pixels</strong>.","Sugerowana wysokość: <strong>%s1$d pikseli</strong>."
"Images should be at least <strong>%s1$d pixels</strong> tall.","Obrazki powinny mieć co najmniej <strong>%s1$d pikseli</strong> wysokości."
"Suggested width is <strong>%s1$d pixels</strong>.","Sugerowana szerokość: <strong>%s1$d pikseli</strong>."
"I'm sure I want to permanently disable my site, and I am aware I can never get it back or use %s again.","Na pewno chcę trwale wyłączyć moją stronę i zdaję sobie sprawę z tego, że ani odzyskanie jej, ani użycie %s nie będzie już nigdy możliwe."
"Delete My Site Permanently","Usuń moją witrynę na zawsze"
"Delete My Site","Usuń moją witrynę"
"Remember, once deleted your site cannot be restored.","Pamiętaj: usunięta strona nie może zostać przywrócona."
"I'm sorry, the link you clicked is stale. Please select another option.","Przepraszamy, kliknięty odnośnik jest nieaktualny. Proszę wybrać inną opcję."
"Thank you for using %s, your site has been deleted. Happy trails to you until we meet again.","Dziękujemy za używanie sieci &#8222;%s&#8221;, Twoja witryna została usunięta. Do zobaczenia!"
"If you do not want to use your %s site any more, you can delete it using the form below. When you click <strong>Delete My Site Permanently</strong> you will be sent an email with a link in it. Click on this link to delete your site.","Jeśli nie chcesz prowadzić już witryny &#8222;%s&#8221;, możesz usunąć ją przy pomocy poniższego formularza. Po kliknięciu <strong>Usuń moją witrynę na zawsze</strong>, na Twój adres e-mail zostanie wysłana wiadomość z odnośnikiem. Kliknięcie tego odnośnika spowoduje usunięcie Twojej witryny."
"You do not have sufficient permissions to delete this site.","Nie posiadasz wystarczających uprawnień, by usunąć tę witrynę."
"Thank you. Please check your email for a link to confirm your action. Your site will not be deleted until this link is clicked.","Dziękujemy. Na Twój adres e-mail została wysłana wiadomość z odnośnikiem, który pozwala potwierdzić chęć wykonania operacji. Twoja witryna nie zostanie usunięta, dopóki nie klikniesz tego odnośnika."
"Dear User,\nYou recently clicked the 'Delete Site' link on your site and filled in a\nform on that page.\nIf you really want to delete your site, click the link below. You will not\nbe asked to confirm again so only click this link if you are absolutely certain:\n###URL_DELETE###\n\nIf you delete your site, please consider opening a new site here\nsome time in the future! (But remember your current site and username\nare gone forever.)\n\nThanks for using the site,\nWebmaster\n###SITE_NAME###","Drogi Użytkowniku,\nKliknąłeś odnośnik 'Usuń witrynę' na swojej witrynie i wypełniłeś\nna niej formularz.\nJeśli naprawdę chcesz usunąć swoją witrynę, kliknij poniższy odnośnik.\nNie zostaniesz poproszony o ponownie potwierdzenie chęci zrobienia\ntego, więc kliknij go tylko jeśli jesteś całkowicie pewien:\n###URL_DELETE###\n\nJeśli usuniesz swoją witrynę, rozważ utworzenie nowej witryny\nw tej sieci w przyszłości! (Ale pamiętaj, że Twoja obecna witryna\noraz nazwa użytkownika przepadną na zawsze).\n\nDzięki za używanie tej witryny,\nWebmaster\n###SITE_NAME###"
"This file is too big. Files must be less than %s KB in size.","Ten plik jest zbyt wielki. Wysyłane pliki muszą mieć rozmiar mniejszy niż %s KB."
"You have used your space quota. Please delete files before uploading.","Wykorzystano już przydzieloną przestrzeń dyskową. Proszę usunąć jakieś pliki przed wysłaniem nowych na serwer."
"Back","Wstecz"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Drogi Użytkowniku,\n\nPoproszono o zmianę adresu e-mail administratora Twojej witryny.\nJeśli to faktycznie Ty zażądałeś tej zmiany, proszę kliknąć\nponiższy odnośnik, aby ją sfinalizować:\n###ADMIN_URL###\n\nMożesz spokojnie zignorować i usunąć tego e-maila, jeśli\nnie chcesz tego zrobić.\n\nTa wiadomość została wysłana na adres ###EMAIL###\n\nPozdrowienia,\nZespół ###SITENAME###\n###SITEURL### "
"[%s] New Admin Email Address","[%s] Nowy adres e-mail administratora"
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Drogi Użytkowniku,\n\nPoproszono o zmianę adresu e-mail przypisanego do Twojego konta.\nJeśli to faktycznie Ty zażądałeś tej zmiany, proszę kliknąć\nponiższy odnośnik, aby ją sfinalizować:\n###ADMIN_URL###\n\nMożesz spokojnie zignorować i usunąć tego e-maila, jeśli\nnie chcesz tego zrobić.\n\nTa wiadomość została wysłana na adres ###EMAIL###\n\nPozdrowienia,\nZespół ###SITENAME###\n###SITEURL### "
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","Twój adres e-mail nie został jeszcze zaktualizowany. Sprawdź, czy doszedł już na adres %s e-mail z odnośnikiem potwierdzającym."
"[%s] New Email Address","[%s] Nowy adres e-mail"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","Dziękujemy za wykonanie aktualizacji! Proszę odwiedzić stronę <a href=\"%s\">Zaktualizuj sieć</a>, aby zaktualizować wszystkie witryny."
"Network Disable","Wyłącz w całej sieci"
"Sorry, you must delete files before you can upload any more.","Przepraszamy, musisz usunąć jakieś pliki przed wysłaniem na serwer nowych."
"Enabled <span class=\"count\">(%s)</span>","Włączone <span class=\"count\">(%s)</span>"
"Theme","Motyw"
"You do not appear to have any themes available at this time.","Wygląda na to, ze w tej chwili nie są dostępne żadne motywy."
"No themes found.","Nie znaleziono żadnych motywów."
"Visit Dashboard","Przejdź do kokpitu"
"Your Sites","Twoje witryny"
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","Jeśli trafiono na ten ekran przez przypadek podczas próby odwiedzenia własnej witryny, poniżej znajduje się kilka skrótów, które mogą pomóc trafić we właściwe miejsce."
"Disabled <span class=\"count\">(%s)</span>","Wyłączone <span class=\"count\">(%s)</span>"
"Open this theme in the Theme Editor","Otwórz ten motyw w edytorze motywów"
"Disable this theme","Wyłącz ten motyw"
"Enable this theme","Włącz ten motyw"
"Mark as Spam","Oznacz jako spam"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","Próbowano przejść do kokpitu witryny &#8222;%s&#8221;, ale brak uprawnień. Jeśli uważasz, że to pomyłka, skontaktuj się z administratorem sieci."
"MB (Leave blank for network default)","MB (pozostaw puste, aby użyć domyślnej wartości sieci)"
"Visit theme homepage","Odwiedź stronę domową motywu"
"British English","Brytyjski angielski"
"View Site","Zobacz witrynę"
"Super Admin <span class=\"count\">(%s)</span>","Superadministratorzy <span class=\"count\">(%s)</span>"
"Super Admins <span class=\"count\">(%s)</span>","Superadministratorzy <span class=\"count\">(%s)</span>"
"American English","Amerykański angielski"
"Primary Site","Główna witryna"
"Visit Theme Site","Odwiedź witrynę motywu"
"Delete this theme","Usuń ten motyw"
"Site Upload Space Quota","Przydzielona witrynie przestrzeń dyskowa"
"Disable","Wyłącz"
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","Proszę dodać poniższy kod ponad linią <code>/* To wszystko, zakończ edycję w tym miejscu! Miłego blogowania! */</code>:"
"Not enough space to upload. %s KB needed.","Brak miejsca na plik na serwerze. Wymagane jest co najmniej %s KB miejsca."
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","Uwaga! WordPress szyfruje ciasteczka użytkownika, ale musisz dodać poniższe linie do pliku <strong>wp-config.php</strong>, aby był on jeszcze bardziej bezpieczny."
"English","Angielski"
"You must be a member of at least one site to use this page.","Musisz być użytkownikiem co najmniej jednej witryny, aby móc używać tej strony."
"Global Settings","Ustawienia globalne"
"<a href=\"http://codex.wordpress.org/Dashboard_My_Sites_Screen\" target=\"_blank\">Documentation on My Sites</a>","<a href=\"http://codex.wordpress.org/Dashboard_My_Sites_Screen\" target=\"_blank\">Dokumentacja dot. ekranu &#8222;Moje witryny&#8221;</a>"
"You do not have sufficient permissions to view this page.","Nie posiadasz wystarczających uprawnień, by zobaczyć tę stronę."
"The primary site you chose does not exist.","Witryna, którą próbowano ustawić jako główną, nie istnieje."
"This screen shows an individual user all of their sites in this network, and also allows that user to set a primary site. He or she can use the links under each site to visit either the frontend or the dashboard for that site.","Na tym ekranie wyświetlane są wszystkie witryny użytkownika w sieci oraz umożliwia on mu ustawienie głównej witryny. Użytkownik może także użyć odnośników umieszczonych pod nazwą każdej z witryn, aby przejść na wybraną witrynę lub do jej kokpitu."
"Up until WordPress version 3.0, what is now called a Multisite Network had to be installed separately as WordPress MU (multi-user).","Aż do wersji 3.0 WordPressa to, co teraz zwane jest siecią, musiało zostać zainstalowane oddzielnie jako WordPress MU (multi-user; ang. „wieloużytkownikowy”)."
"Sorry, I need a wp-config-sample.php file to work from. Please re-upload this file from your WordPress installation.","Aby WordPress mógł zostać prawidłowo zainstalowany, w katalogu z jego plikami musi znajdować się plik wp-config-sample.php. Proszę wysłać ten plik na serwer z paczki z WordPressem."
"The file 'wp-config.php' already exists. If you need to reset any of the configuration items in this file, please delete it first. You may try <a href='%s'>installing now</a>.","Plik „wp-config.php” znajdujejuż istnieje. Jesli musisz zmienić dowolne z ustawień, które są już określone w tym pliku, usuń go. Możesz spróbować <a href='%s'>zainstalować WordPressa</a>. "
"The file 'wp-config.php' already exists one level above your WordPress installation. If you need to reset any of the configuration items in this file, please delete it first. You may try <a href='install.php'>installing now</a>.","Plik „wp-config.php” znajduje się w katalogu nadrzędnym w stosunku do katalogu, w którym umieszczono pliki WordPressa. Jesli musisz zmienić dowolne z ustawień, które są już określone w tym pliku, usuń go. Możesz spróbować <a href='install.php'>zainstalować WordPressa</a>."
"WordPress &rsaquo; Setup Configuration File","WordPress &rsaquo; Tworzenie pliku konfiguracyjnego"
"Welcome to WordPress. Before getting started, we need some information on the database. You will need to know the following items before proceeding.","Witaj na swojej witrynie opartej na WordPressie. Zanim będzie można z niej korzystać, trzeba ustawić dostęp do bazy danych. Potrzebne będą następujące informacje:"
"Database name","Nazwa bazy danych"
"Database username","Nazwa użytkownika bazy danych"
"Database password","Hasło użytkownika bazy danych"
"Database host","Adres serwera bazy danych"
"Table prefix (if you want to run more than one WordPress in a single database)","Prefiks nazw tabel (jeśli chcesz zainstalować więcej niż jedną kopię WordPressa w tej samej bazie danych)"
"Let&#8217;s go!","Zaczynajmy!"
"Database Name","Nazwa bazy danych"
"The name of the database you want to run WP in.","Nazwa bazy danych, w której WP ma zostać zainstalowany."
"username","uzytkownik"
"Your MySQL username","Twoja nazwa użytkownika"
"password","haslo"
"&hellip;and your MySQL password.","… i hasło."
"Database Host","Adres serwera bazy danych"
"You should be able to get this info from your web host, if <code>localhost</code> does not work.","Jeżeli ustawienie adresu serwera na <code>localhost</code> nie zadziałało, skontaktuj się z administratorem serwera w celu uzyskania tego adresu."
"Table Prefix","Prefiks tabel"
"If you want to run multiple WordPress installations in a single database, change this.","Jeśli chcesz zainstalować więcej niż jedną kopię WordPressa w tej samej bazie danych, zmień zawartość tego pola."
"You can create the <code>wp-config.php</code> manually and paste the following text into it.","Możesz stworzyć plik <code>wp-config.php</code> własnoręcznie i wstawić do niego poniższy tekst."
"Run the install","Uruchomienie instalacji"
"To allow use of this page to automatically repair database problems, please add the following line to your <code>wp-config.php</code> file. Once this line is added to your config, reload this page.","Aby możliwe było użycie skryptu na tej stronie do naprawy problemów w bazie danych, proszę dodać poniższy wiersz do pliku <code>wp-config.php</code>. Kiedy to zrobisz, odśwież tę stronę."
"http://wordpress.org/support/forum/how-to-and-troubleshooting","http://pl.forums.wordpress.org/forum/zrob-to-sam-i-konfiguracja-wordpressa"
"No comments awaiting moderation.","Brak komentarzy oczekujących na moderację."
"Changelog","Lista zmian"
"Other Notes","Inne uwagi"
"Installation","Instalacja"
"Screenshots","Zrzuty ekranu"
"If you just want to get an idea of what&#8217;s available, you can browse Featured, Popular, and Newest plugins by using the links in the upper left of the screen. These sections rotate regularly.","Jeśli chcesz tylko dowiedzieć się, jakiego rodzaju wtyczki są dostępne, możesz przejrzeć polecane, popularne, najnowsze i ostatnio zaktualizowane wtyczki przy pomocy odnośników znajdujących się w lewej górnej części tego ekranu. Działy te są aktualizowane regularnie."
"If you like, you may enter custom structures for your category and tag <abbr title=\"Universal Resource Locator\">URL</abbr>s here. For example, using <code>topics</code> as your category base would make your category links like <code>http://example.org/%stopics/uncategorized/</code>. If you leave these blank the defaults will be used.","Jeśli chcesz, możesz określić własny format adresów archiwów kategorii i tagów. Na przykład wpisanie <code>tematy</code> do pola „Alias kategorii” sprawi, że adresy archiwów kategorii będą miały postać podobną do tej: <code>http://example.org/%stematy/bez-kategorii/</code>. Jeśli chcesz użyć domyślnych ustawień, pozostaw te pola puste."
"You should update your web.config now.","Teraz należy zaktualizować plik web.config."
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","Zamierzasz usunąć odnośnik „%s”\n Kliknij „Anuluj”, aby anulować tę operację, lub „OK”, aby ją sfinalizować."
"Plugin Homepage &#187;","Strona domowa wtyczki &#187;"
